FIDC;PL Total;PL Sênior;PL Mezanino;PL Subordinada Jr;Carteira (Direitos Creditórios);Quantidade de Cedentes;Quantidade de Sacados;Caixa/Disponibilidades;Taxa Média;Taxa Ponderada de Cessão;Prazo Médio;Ticket Médio;Retorno Cota Subordinada;Cheques;Duplicata;Duplicata de Serviço Físico;Contrato;Nota Comercial;Confissão de Dívida;Nota Promissória;CCB;Resgates Subordinada Jr.;Resgates Subordinada Mezanino;Resgates Sênior;Liquidado Total (R$);Liquidado Antecipadamente;Liquidado no Prazo;Liquidado Vencido;Entre D1-D5;Entre D1-D15;Entre D6-D15;Entre D16-D30;Acima de D30;Entre D31-D90;Entre D91-D120;Acima de D120;Recompra (R$);Número de Funcionários;Volume Operado;PDD Total;(PDD Total)0-5 dias;(PDD Total)0-15 dias;(PDD Total)0-30 dias;(PDD Total)5-30 dias;(PDD Total)15-30 dias;(PDD Total)30-60 dias;(PDD Total)60-90 dias;(PDD Total)90-120 dias;(PDD Total)120-150 dias;(PDD Total)> 120 dias;(PDD Total)150-180 dias;(PDD Total)180-360 dias;(PDD Total)180-365 dias;(PDD Total)180-999 dias;PDD À Vencer;Vencidos Total;(Vencidos Total)0-5 dias;(Vencidos Total)0-15 dias;(Vencidos Total)0-30 dias;(Vencidos Total)5-30 dias;(Vencidos Total)15-30 dias;(Vencidos Total)30-60 dias;(Vencidos Total)60-90 dias;(Vencidos Total)90-120 dias;(Vencidos Total)120-150 dias;(Vencidos Total)> 120 dias;(Vencidos Total)150-180 dias;(Vencidos Total)180-365 dias;(Vencidos Total)180-999 dias;Concentração Top 10 Cedentes (R$);Cedente 1;Cedente 2;Cedente 3;Cedente 4;Cedente 5;Cedente 6;Cedente 7;Cedente 8;Cedente 9;Cedente 10;Concentração Top 10 Sacados (R$);Sacado 1;Sacado 2;Sacado 3;Sacado 4;Sacado 5;Sacado 6;Sacado 7;Sacado 8;Sacado 9;Sacado 10;Subordinação (%);Subordinação Jr (%);PDD Total (PL%);Vencidos Total (PL%);Concentração Maior Cedente (PL%);Concentração Maior Sacado (PL%);Concentração 10 Maiores Cedentes (PL%);Concentração 10 Maiores Sacados (PL%);Recompra (PL%);Volume Operado (PL%);Caixa/Disponibilidades (%PL);Liquidados Total (PL%);Duplicata (PL%)
GAVEAOPEN;506319207.25;296201227.26;69726541.31;140391438.68;424091877.94;193.0;3041.0;85031381.53;0.0163986221892604;;65.94980033497889;;0.034465;0.0;323515421.77;;6304884.66;45951912.21;;;19947312.89;;;;;;;;;;;;;;;;;;269619394.3299985;1203669.8699999996;;;;;;0.0;0.0;0.0;0.0;;516586.7299999986;;683126.7800000012;;1385.5200000000186;7440677.530000019;;;;;0.0;0.0;0.0;0.0;0.0;;516586.7899999991;683126.8499999996;;165705392.2;26457714.720000006;24058438.92;18924985.96;16839052.600000005;15960157.23;15342482.170000002;13993357.23;11804949.76;11371596.970000004;10952656.639999991;83128307.86999999;16201793.269999998;15657688.99;10965480.23;9727299.510000002;8049104.51;5693843.0;4954524.46;4948640.78;2902360.96;4027572.160000001;41.49911300644224;27.727851653607203;0.23772945066365536;1.4695625651677309;5.225500897684937;3.199916779376731;32.727455294458416;16.418162036850124;;53.25087226976781;16.794026438743202;;63.895545959460534
IOX;756677578.98;497531017.62;66270831.8;192875729.56;740147733.76;266.0;5322.0;9270821.99;0.0277887170840638;;36.0;36993.21656272559;0.109263080639006;14371869.560000006;590931213.6499983;;83591996.91999997;30413951.03000001;0.0;0.0;15987825.660000006;;;;;;;;;;;;;;;;4892272.130000001;;364724825.48;14512396.530000009;;;1122551.8200000008;;;3125209.369999999;3271664.430000003;3073251.070000007;;1702500.6799999997;;;;;2217219.160000001;57418780.60999999;;;25418855.72;;;16988075.509999994;9198467.729999997;4110880.969999998;;1702500.6799999997;;;;180468616.43999997;21265821.44999999;20481867.74;19500819.630000006;19192395.23;18253787.879999995;17870300.659999996;16729610.550000008;16192015.930000002;15527011.27999995;15454986.09;123592573.57000002;18902989.64;16626761.230000004;16345646.780000005;13734243.580000008;11757399.189999998;10807803.070000002;9481198.45;8863420.069999998;8543738.090000002;8529373.469999997;34.24795032374676;25.489816920437384;1.9179102081447548;7.588275667874342;2.8104204539357807;2.498156436124511;23.85013398748663;16.33358473983101;0.6465464638974469;48.200823654858176;1.225201095887769;;78.09550990615746
IOXII;756677578.98;497531017.62;66270831.8;192875729.56;740147733.76;266.0;5322.0;9270821.99;0.0277887170840638;;36.0;36993.21656272559;0.109263080639006;14371869.560000006;590931213.6499983;;83591996.91999997;30413951.03000001;0.0;0.0;15987825.660000006;;;;;;;;;;;;;;;;4892272.130000001;;364724825.48;14512396.530000009;;;1122551.8200000008;;;3125209.369999999;3271664.430000003;3073251.070000007;;1702500.6799999997;;;;;2217219.160000001;57418780.60999999;;;25418855.72;;;16988075.509999994;9198467.729999997;4110880.969999998;;1702500.6799999997;;;;180468616.43999997;21265821.44999999;20481867.74;19500819.630000006;19192395.23;18253787.879999995;17870300.659999996;16729610.550000008;16192015.930000002;15527011.27999995;15454986.09;123592573.57000002;18902989.64;16626761.230000004;16345646.780000005;13734243.580000008;11757399.189999998;10807803.070000002;9481198.45;8863420.069999998;8543738.090000002;8529373.469999997;34.24795032374676;25.489816920437384;1.9179102081447548;7.588275667874342;2.8104204539357807;2.498156436124511;23.85013398748663;16.33358473983101;0.6465464638974469;48.200823654858176;1.225201095887769;;78.09550990615746
MATRIZ;122250970.39;45159405.47;17286280.18;59805284.74;122895506.55;328.0;7646.0;1400387.84;0.0252165257175194;;31.0;4478.497405490735;0.0316129737726387;8813756.679999994;108618780.05000035;;0.0;4252926.129999999;307394.98;0.0;902648.32;;;;50915020.96000021;4827110.279999999;22370010.74;;;19612873.74999998;;3016016.060000001;;921271.74;75978.95000000001;91759.44;2859341.17;;61051736.50999996;3335497.1400000006;;;230110.0000000001;;;152457.64000000004;184340.23000000004;525371.6000000002;;1789599.5700000003;;;;;453618.0999999999;14785822.56;;;11426521.749999998;;;646547.2000000003;282403.92999999993;640749.9000000001;;1789599.78;;;;49805734.78;9929659.71999999;9481971.1;9430958.940000003;4588436.510000005;3765864.310000001;3337140.3200000003;2643724.57;2505274.85;2189543.24;1933161.22;14183357.810000002;2505274.85;1875631.05;1594336.23;1457102.69;1251291.87;1151166.41;1137303.85;1133051.4799999995;1104151.2499999998;974048.13;63.060084246420026;48.92008999945902;2.7284013610356097;12.094646376082643;8.122356565614815;2.049288314037734;40.74056395717089;11.601836586452311;2.3389108167225565;49.93967435615049;1.1455024328498502;41.64794831286264;88.84901257101617
MULTIASSET;308690898.78;77816138.76;39986915.49;190887844.53;279398826.67;104.0;10397.0;1265.59;;0.0197;152.518704931103;1758.56296091406;0.0142343694782525;3648344.7679468463;275750481.9020531;;0.0;;;0.0;;3260000.0;;-4710393.95;71621476.59999998;19021009.12000001;22756258.76999995;29844208.710000023;13516331.850000031;;6867641.590000001;2640179.8099999987;6820055.459999994;;;;5636239.04;;90715196.42;9678154.82;;;;;;;;;;;;;;;;19156613.69;;;;;;;;;;;;;;61689835.63000002;9582011.360000003;9068971.6;7061784.17;7042679.99;6832378.0;5094299.180000001;4811430.980000001;4790893.450000003;3795207.979999993;3610178.920000008;90827077.92;17100835.85;10549279.02;9263543.42;9068971.6;8290900.02;8269533.32;7117911.91;7111239.749999999;7061784.170000001;6993078.86;74.79156688210024;61.8378595820032;3.1352251907165867;6.205759147973025;3.104079646620544;5.539792691519405;19.984338985635457;29.423309297087926;1.8258520294169331;29.387065436176513;0.0004099861722525126;23.201680672498117;89.32899641416928
MULTIPLIKE;1145371032.44;686799230.69;229176714.91;229395086.84;1111303877.87002;;;14244520.24;0.01988;;80.66;;0.043071;40585128.85000007;570623455.1499927;;104042960.7499998;;;;;;;;373476260.0977838;;;;;;;;;;;;6895020.74;284.0;515611311.13;320305.42;0.0;;;234127.78;;86177.64;0.0;0.0;;0.0;;;;;;20886048.05;14356149.69;;;6307766.68;;222131.68;0.0;0.0;;0.0;;;;269065088.93;46073984.62;41785884.06;31765729.78;29246929.47;26985275.09;22258659.24;22078560.65;18372302.35;15477259.44;15020504.23;134948848.69;22078560.65;18657981.68;15020504.23;13971462.47;13521909.31;12621589.56;10381291.8;9956298.94;9527104.39;9212145.66;40.03696520708211;20.028015406616003;0.027965210480105196;1.8235180966211586;4.022625272951765;1.9276339303750094;23.49152207532321;11.782107707274259;0.601990145089617;45.01696799783612;1.243659900290537;32.60744767589958;49.81996566949886
NOVACAPITAL;129425794.92;61166970.45;29448873.5;38809950.97;113657439.1;311.0;5569.0;12802153.08;0.0264914586981586;;22.0;4731.389552909842;0.0405341844861519;30000.0;113627439.84000002;;0.0;0.0;0.0;0.0;0.0;;;;61216241.21999998;10840709.310000006;36030845.0700001;;;11709657.760000002;;1581935.72;;820542.7299999997;162054.25;70496.38;2210171.919999999;;65831857.91999994;1821445.700000001;;;76115.31999999992;;;118677.79000000008;39906.91000000002;189214.81;;1209420.720000001;;;;;188110.14999999997;6714486.429999996;;;4429641.189999996;;;699946.8799999999;118303.21;257174.38;;1209420.770000001;;;;30328306.46;4210278.770000002;3868904.669999998;3816365.959999999;3166836.54;3161847.07;3140705.380000003;2559096.45;2286053.099999999;2242229.8200000003;1875988.7000000004;18024353.92;3161847.07;2677700.529999999;2565748.83;1854443.86;1695567.98;1492629.71;1312041.3;1293946.27;994137.81;976290.5599999996;52.739737478291545;29.986256598994814;1.4073281922864476;5.187904338660094;3.2530445515922373;2.4429806067286544;23.432969045116838;13.92640001256405;1.707674981920056;50.86455753328893;9.891500444647221;47.29833126220213;87.79350353631965
ONE7;270041227.29;152715999.88;22681585.85;94643641.56;239908848.92;758.0;6907.0;;0.0262;;22.64;10662.86;0.0235;4785016.95;176593456.03;50079005.42;3068779.64;;5382590.88;;;;;;;;;;;;;;;;;;21554041.11;128.0;;12763140.87;;146992.1;;;167235.41;499403.97;1199238.56;1682154.62;1020310.06;;988516.12;3778022.44;;;3281267.59;16403320.75;;7620554.73;;;2921641.16;1584680.67;2165682.59;2110761.6;;;;;;47714207.88;9481706.07;5805364.4;5698616.17;4919182.26;3951876.46;3838684.97;3792261.92;3658059.64;3399494.6;3168961.39;29996737.480000004;4595022.44;3996097.66;3737112.21;3002910.65;2758284.81;2686751.4;2608127.48;2526035.04;2068057.94;2018337.85;43.447153824405945;35.04784899320622;4.726367524723746;6.074376462666683;3.511206849840561;1.7016003393679437;17.669230864796518;11.108206617571843;7.981759424775868;;;;65.39499831274078
PAGOL;62054531.71;13311180.4;0.0;48743351.31;71067965.59;2.0;6780.0;2187064.87;;0.03612237;289.3764714;305.43019461;0.01221161;0.0;0.0;;0.0;;;;71067965.59;0.0;0.0;;;2485853.76;1406.87;;756549.62;;27541.64;35876.02;137089.14;;;;0.0;;4438387.48455845;11177314.0;;;;;;;;;;;;;;;;4513667.27;;;;;;;;;;;;;;59890649.760000005;41223819.77;18666829.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;806586.9500000002;157530.23;83299.08;78219.97;77299.81;74085.24;70163.71;69641.64;65757.19;65749.65;64840.43;78.5492210912053;78.5492210912053;18.012083391806165;7.2737109532850255;66.43160238909167;0.25385773715316623;96.51293484879963;1.2998034595916865;0.0;7.152398643986882;3.5244240988246114;;0.0
PHD;167116593.92;99414333.26;32979840.55;34722420.11;161765134.71000025;149.0;7798.0;6921903.96;0.0225630065266714;;109.6579419229777;;0.033756;3526551.940000003;106443061.60999969;23832962.809999943;9130978.59;4678253.95;0.0;;11257360.13;0.0;4500000.0;0.0;71101388.35000014;;;;;;;;;;;;1668400.5;;88932524.03000014;2895965.679999992;;;;;10204.89999999851;57511.15999999829;11585.979999998584;12738.640000000596;129524.2599999886;;16443.38000000082;;2333203.979999996;;280314.6500000004;10260644.629999964;;;;;673459.5100000016;354306.80000000075;29636.580000000075;13737.910000000147;129524.26999998838;;16443.38000000082;2333204.1599999955;;70327230.02000003;11257360.13;9716826.950000022;8629340.509999996;7792183.229999997;7311636.130000002;5887474.17;5091945.190000015;5060330.94;4963267.789999999;4616864.98;28876536.16;3909994.289999999;3442909.22;3288468.6099999994;3160424.92;2984030.070000003;2617930.4299999992;2517540.33;2463885.240000001;2387079.56;2104273.49;40.511991701081215;20.777362256809692;1.732901330783652;6.139811965597991;6.7362311940063755;2.3396804579871606;42.082733001168165;17.279275195031456;0.9983452037077037;53.215854837594904;4.141960889481489;42.54597744137661;63.69389126070557
RAIZES;171352008.28;89245353.85999997;30733719.06;51372935.36000003;164352628.88;182.0;3068.0;3325495.6100000003;0.0308434261032379;;65.96891698827623;;-0.0243;1611306.2400000007;90665433.06999996;;17956079.36000001;;923435.8599999996;0.0;9602061.320000011;;;;;;;;;;;;;;;;6174803.299999997;;51811453.24000013;14393945.000000006;;;;;;;;;;;;;;;5637761.930000009;18736082.99;;7141154.290000004;;;1146447.1000000006;2306455.12;1086114.41;779723.1800000004;843537.1899999996;;611444.83;;4821206.869999996;49688009.91000001;9602061.320000011;7817281.439999996;7765544.660000004;5594633.300000001;3727667.589999999;3533320.0600000005;3191473.9900000016;3085634.74;2732505.330000001;2637887.4799999995;35266369.72;9383961.54;3817329.34;3754539.6;3352101.1899999995;3341281.3600000003;2820368.06;2497627.7700000005;2299633.5400000005;2022173.19;1977354.13;47.916949001165236;29.98093566318371;8.400219609028095;10.934265187825552;5.6037051543099725;5.476423436290291;28.997623318663802;20.58124096355645;3.603578015794235;30.236852056812165;1.9407392089422906;;52.911800672827205
SIFRAPLUS;941388870.36;539445644.61;109346368.16;292596857.59;891413191.61;341.0;10196.0;74825759.48;;0.02501737;;15644.23693447;0.01953901;0.0;793584712.1597477;;10655454.101118635;2718444.75500194;;;;0.0;0.0;;;35128485.56;152328386.39;;211885976.0;;34402361.02;10506124.17;10698032.92;;;;5374568.46;;465392277.7035744;25428084.46;;;;;;;;;;;;;;;;71516709.0;;;;;;;;;;;;;;312999178.40000004;52487902.59;40526446.89;37786944.78;34309950.8;32093719.67;30411884.5;23671944.6;22443068.95;20948824.68;18318490.94;164533070.05;28952763.94;27828454.8;21306739.53;13584961.13;13000124.37;12746813.35;12675263.06;12435785.5;11152733.74;10849430.63;42.69683213869858;31.0814018311165;2.701124398281441;7.596935894584246;5.575581382211149;3.075537097536331;33.24865932187034;17.477694418362976;0.570919056855292;49.4367728742748;7.948443181762453;;84.29935143128154
